,zone,code,pitch_type,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,batter_id,g_id,inning,pitcher_id,stand,top,home_team,start_time,weather,wind,pitch_height,pitch_width,FF_height,FF_width,CH_height,CH_width,SL_height,SL_width,FC_height,FC_width,CU_height,CU_width,run_dif,run_total,batter_score
34,8.0,0,CU,2015000649.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,434158,201500010,3,453286,L,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,0,0,0,0,0,0,-1,0,0.0,0.0,0.12698412698412698
35,4.0,0,SL,2015000653.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,431151,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0859375
36,14.0,0,SL,2015000653.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,431151,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,0,0,-2,-2,0,0,0,0,0.0,0.0,0.06086956521739131
37,9.0,0,FF,2015000653.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,431151,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0.05228758169934641
38,13.0,0,FF,2015000653.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,431151,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,2,-2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.08067940552016985
39,14.0,0,CU,2015000654.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,446263,201500010,4,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,2,0,0,0,0,0,0,0,0,-2,2,0.0,0.0,0.06206896551724138
40,11.0,0,FF,2015000654.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,446263,201500010,4,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.05187319884726225
41,5.0,0,SL,2015000655.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,150212,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.08994708994708994
42,12.0,0,FF,2015000655.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,150212,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.03543307086614173
43,13.0,0,FF,2015000655.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,150212,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,2,-2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.08067940552016985
44,2.0,0,FF,2015000655.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,150212,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.04375
45,7.0,0,FF,2015000655.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,150212,201500010,4,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,1,-1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.08717948717948718
46,13.0,0,FF,2015000660.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,502517,201500010,5,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,-2,-2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.10933333333333334
47,14.0,0,FF,2015000660.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,502517,201500010,5,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,2,-2,2,0,0,0,0,0,0,0,0,-1.0,1.0,0.057971014492753624
48,13.0,0,CH,2015000660.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,502517,201500010,5,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,-2,-2,0,0,0,0,0,0,-1.0,1.0,0.05507246376811594
49,1.0,0,SL,2015000661.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,501571,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,1,0,0,0,0,1,1,0,0,0,0,-1.0,1.0,0.05333333333333334
50,5.0,0,FF,2015000661.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,501571,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.0905982905982906
51,5.0,0,FF,2015000661.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,501571,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.0905982905982906
52,14.0,0,FF,2015000662.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,518595,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,-2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.05714285714285714
53,8.0,0,SL,2015000662.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,518595,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,0,0,-1,0,0,0,0,0,-1.0,1.0,0.10919540229885058
54,5.0,0,FF,2015000662.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,518595,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.11009174311926606
55,14.0,0,SL,2015000662.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,518595,201500010,5,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,0,0,-2,-2,0,0,0,0,-1.0,1.0,0.03501945525291829
56,5.0,0,FF,2015000666.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,527038,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.09937888198757763
57,3.0,0,SL,2015000666.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,527038,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,-1,0,0,0,0,1,-1,0,0,0,0,-1.0,1.0,0.03636363636363636
58,14.0,0,FF,2015000667.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,112526,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,-2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.053164556962025315
59,7.0,0,FF,2015000667.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,112526,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,1,-1,1,0,0,0,0,0,0,0,0,-1.0,1.0,0.08717948717948718
60,11.0,0,SL,2015000667.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,112526,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,2,0,0,0,0,2,2,0,0,0,0,-1.0,1.0,0.05228758169934641
61,11.0,0,FF,2015000667.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,112526,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,2,2,2,0,0,0,0,0,0,0,0,-1.0,1.0,0.06435006435006435
62,11.0,0,SL,2015000667.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,112526,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,2,0,0,0,0,2,2,0,0,0,0,-1.0,1.0,0.05228758169934641
63,11.0,0,FF,2015000668.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,434158,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.08304498269896193
64,8.0,0,CH,2015000668.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,434158,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,-1,0,0,0,0,0,0,0,-1.0,1.0,0.06837606837606838
65,11.0,0,FF,2015000668.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,434158,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.08304498269896193
66,11.0,1,FF,2015000668.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,434158,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.08304498269896193
67,4.0,1,FF,2015000669.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,431151,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,1,0,1,0,0,0,0,0,0,0,0,-1.0,1.0,0.10375275938189846
68,6.0,0,CH,2015000670.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,446263,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",0,1,0,0,0,1,0,0,0,0,0,0,-1.0,1.0,0.0
69,11.0,0,FF,2015000670.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,446263,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.05187319884726225
70,8.0,0,FF,2015000670.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,446263,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",-1,0,-1,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.12177121771217712
71,11.0,1,FF,2015000670.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,446263,201500010,6,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,-1.0,1.0,0.05187319884726225
72,14.0,0,FF,2015000671.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,150212,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,-2,-2,0,0,0,0,0,0,0,0,1.0,3.0,0.053164556962025315
73,9.0,0,SL,2015000671.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,150212,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,-1,0,0,0,0,-1,-1,0,0,0,0,1.0,3.0,0.06912442396313365
74,9.0,0,FF,2015000671.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,150212,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,-1,-1,-1,0,0,0,0,0,0,0,0,1.0,3.0,0.05228758169934641
75,9.0,0,CH,2015000671.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,150212,201500010,6,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,-1,0,0,-1,-1,0,0,0,0,0,0,1.0,3.0,0.01818181818181818
76,11.0,0,CH,2015000677.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,502517,201500010,7,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,0,0,2,-2,0,0,0,0,0,0,1.0,3.0,0.056338028169014086
77,11.0,0,CH,2015000677.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,502517,201500010,7,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,0,0,2,-2,0,0,0,0,0,0,1.0,3.0,0.056338028169014086
78,13.0,1,FF,2015000678.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,501571,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,2,-2,2,0,0,0,0,0,0,0,0,1.0,3.0,0.09090909090909091
79,14.0,0,SL,2015000679.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,518595,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,0,0,-2,-2,0,0,0,0,1.0,3.0,0.03501945525291829
80,7.0,0,FF,2015000679.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,518595,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,1,-1,1,0,0,0,0,0,0,0,0,1.0,3.0,0.08717948717948718
